dataset,distance_function,k_value,accuracy,precision,sensitivity,specificity,false_positive_rate,f1
hp,euclidean,3,0.6875,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
hp,euclidean,5,0.6875,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
hp,euclidean,7,0.75,0.0,0.0,1.0,0.0,0.0
hp,euclidean,9,0.75,0.0,0.0,1.0,0.0,0.0
hp,euclidean,11,0.75,0.0,0.0,1.0,0.0,0.0
hp,euclidean,13,0.75,0.0,0.0,1.0,0.0,0.0
hp,euclidean,15,0.75,0.0,0.0,1.0,0.0,0.0
hp,manhattan,1,0.875,0.75,0.75,0.9166666666666666,0.08333333333333333,0.75
hp,manhattan,3,0.8125,1.0,0.25,1.0,0.0,0.4
hp,manhattan,5,0.75,0.0,0.0,1.0,0.0,0.0
hp,manhattan,7,0.75,0.0,0.0,1.0,0.0,0.0
hp,manhattan,9,0.75,0.0,0.0,1.0,0.0,0.0
hp,manhattan,11,0.75,0.0,0.0,1.0,0.0,0.0
hp,manhattan,13,0.75,0.0,0.0,1.0,0.0,0.0
hp,manhattan,15,0.75,0.0,0.0,1.0,0.0,0.0
hp,minkowski,1,0.8125,0.6666666666666666,0.5,0.9166666666666666,0.08333333333333333,0.5714285714285715
hp,minkowski,3,0.6875,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
hp,minkowski,5,0.6875,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0
hp,minkowski,7,0.75,0.0,0.0,1.0,0.0,0.0
hp,minkowski,9,0.75,0.0,0.0,1.0,0.0,0.0
hp,minkowski,11,0.75,0.0,0.0,1.0,0.0,0.0
hp,minkowski,13,0.75,0.0,0.0,1.0,0.0,0.0
hp,minkowski,15,0.75,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,1,0.7419354838709677,0.4,0.6666666666666666,0.76,0.24,0.5
hp_imp,euclidean,3,0.7741935483870968,0.3333333333333333,0.16666666666666666,0.92,0.08,0.2222222222222222
hp_imp,euclidean,5,0.7419354838709677,0.0,0.0,0.92,0.08,0.0
hp_imp,euclidean,7,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,9,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,11,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,13,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,euclidean,15,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,1,0.8387096774193549,0.5714285714285714,0.6666666666666666,0.88,0.12,0.6153846153846153
hp_imp,manhattan,3,0.7419354838709677,0.0,0.0,0.92,0.08,0.0
hp_imp,manhattan,5,0.7419354838709677,0.0,0.0,0.92,0.08,0.0
hp_imp,manhattan,7,0.7741935483870968,0.0,0.0,0.96,0.04,0.0
hp_imp,manhattan,9,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,11,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,13,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,manhattan,15,0.8064516129032258,0.0,0.0,1.0,0.0,0.0
hp_imp,minkowski,1,0.6774193548387096,0.3,0.5,0.72,0.28,0.37499999999999994
